#,Pokémon,Tipo1,Tipo2,PS,Ataque,Defensa,Color
131,Lapras,Agua,Hielo,130,85,80,[38;2;57;123;164m
132,Ditto,Normal,,48,48,48,[38;2;197;123;230m
133,Eevee,Normal,,55,55,50,[38;2;213;156;74m
134,Vaporeon,Agua,,130,65,60,[38;2;90;197;230m
135,Jolteon,Electrico,,65,65,60,[38;2;255;222;82m
136,Flareon,Fuego,,65,130,60,[38;2;246;115;74m
137,Porygon,Normal,,65,60,70,[38;2;255;98;98m
138,Omanyte,Roca,Agua,35,40,100,[38;2;98;189;246m
139,Omastar,Roca,Agua,70,60,125,[38;2;230;222;131m
140,Kabuto,Roca,Agua,30,80,90,[38;2;197;131;41m
141,Kabutops,Roca,Agua,60,115,105,[38;2;189;139;65m
142,Aerodactyl,Roca,Volador,80,105,65,[38;2;148;131;164m
143,Snorlax,Normal,,160,110,65,[38;2;49;90;123m
144,Articuno,Hielo,Volador,90,85,100,[38;2;106;172;246m
145,Zapdos,Electrico,Volador,90,90,85,[38;2;213;172;8m
146,Moltres,Fuego,Volador,90,100,90,[38;2;238;98;57m
147,Dratini,Dragon,,41,64,45,[38;2;139;156;246m
148,Dragonair,Dragon,,61,84,65,[38;2;90;139;238m
149,Dragonite,Dragon,Volador,91,134,95,[38;2;222;115;57m
150,Mewtwo,Psiquico,,106,110,90,[38;2;106;49;156m
151,Mew,Psiquico,,100,100,100,[38;2;255;180;213m
